Ano Letivo;RA;Fase;Turma;Nome;Idade;Gênero;Ano ingresso;Instituição de ensino;Pedra;INDE;Nº Av;IAA;IEG;IPS;IDA;IPV;IAN;IPP;Mat;Por;Ing;Fase Ideal;Defasagem;Destaque IEG;Destaque IDA;Destaque IPV;Atingiu PV;REC AV
2022;RA-1;7;A;Aluno-1;19;Feminino;2016;Escola Pública;Quartzo;5,8;4;8,3;4,1;5,6;4;7,3;5;8,3;2,7;3,5;6;Fase 8 ;-1;Melhorar entrega;Empenhar mais;Integra-se mais;Não;Manter atual com bolsa
2022;RA-112;4;A;Aluno-112;15;Feminino;2016;Rede Decisão;Ametista;7,8;4;7,9;7,8;6,3;8,5;8,8;5;8,6;9;7,5;9,1;Fase 5 ;-1;Boa entrega;Boas notas;Boa integração;Sim;Promovido fase
2022;RA-106;4;A;Aluno-106;15;Feminino;2016;Rede Decisão;Ametista;8;4;9,2;8;9,4;7,4;8,4;5;8,8;7,8;7,2;7,2;Fase 5 ;-1;Boa entrega;Empenhar mais;Boa integração;Sim;Promovido fase
2022;RA-105;4;A;Aluno-105;17;Masculino;2016;Rede Decisão;Agata;6,8;4;7,9;8,2;5,6;6,7;7,4;2,5;7,4;7,2;6,2;6,8;Fase 7 ;-3;Boa entrega;Empenhar mais;Integra-se mais;Não;Promovido fase
2022;RA-267;3;I;Aluno-267;15;Feminino;2016;Escola Pública;Agata;6;4;10;7,4;5;3,3;6,3;5;6;2,3;4,8;2,7;Fase 5 ;-2;Melhorar entrega;Empenhar mais;Integra-se mais;Não;Manter atual com bolsa
2023;RA-40;6;6A;Aluno-40;17;Feminino;2016;Privada - Programa de Apadrinhamento;Ametista;7,2;4;7,5;8,2;7,5;5,9;7,8;5;8;6,2;5,7;5,8;Fase 7 ;-1;Boa entrega;Empenhar mais;Boa integração;Não;Promovido fase
2022;RA-93;5;L;Aluno-93;15;Feminino;2016;Rede Decisão;Topázio;8,9;4;8,3;9,7;8,1;8,5;9,1;10;8;8,8;8,3;8,4;Fase 5 ;0;Boa entrega;Boas notas;Boa integração;Sim;Promovido com bolsa
2022;RA-92;5;L;Aluno-92;16;Feminino;2016;Rede Decisão;Agata;7;4;9,2;7,1;5;7,4;6,7;5;8,4;7,8;5,5;8,8;Fase 6 ;-1;Melhorar entrega;Empenhar mais;Integra-se mais;Não;Promovido fase
2022;RA-91;5;L;Aluno-91;16;Feminino;2016;Rede Decisão;Agata;6,6;4;9,2;5,7;5,6;6,6;7,1;5;7,4;5,5;5,7;8,5;Fase 6 ;-1;Melhorar entrega;Empenhar mais;Integra-se mais;Não;Manter atual com bolsa
2023;RA-193;4;4A;Aluno-193;13;Masculino;2016;Privada - Programa de Apadrinhamento;Ametista;7,7;4;8,3;9,4;2,5;6,5;8,2;10;8,1;6;6,3;7,3;Fase 3 ;1;Boa entrega;Empenhar mais;Boa integração;Não;Promovido fase
